,場所,スコア,口コミ
441,倉富深巨峰園,4.3,じゃらんnetで遊び体験済み初めてじゃらんでブドウ狩りを予約しました。子供たちと孫のためにじゃらんのクーポンを使い、伺いました。シャインマスカットはなかなかの人気で購入することはできませんでしたが、巨峰、ロザリオロッソ・安芸クイーンは大変おいしくいただきました。来年は、きちんと（シャインマスカットも買えるよう）予約して伺いたいと思います。
442,倉富深巨峰園,4.2,じゃらんnetで遊び体験済み初めてじゃらんで予約しました。現地に着くとシーズン中なのでたくさんのお客さんで園の方がまわっておらずなかなか案内されず待たされました。ぶどう狩りでは予定していた種類のぶどうが完売していて残念でした。試食のぶどうがありましたが少なくてもいいので何種類かあるとぶどう狩りをするのに参考になると思いました。でも甘くて美味しかったです。来年も時間がとれたらまた行きたいです。
443,倉富深巨峰園,3.9,じゃらんnetで遊び体験済み去年初めて行き、今年は2回目です。平日に行きましたので、混雑もなく、子どもと楽しくゆっくり選んで狩りました。去年は少なく予約し現地支払いが出たので、今年はクーポンを使った分5kgにし、巨峰・ロザリオを中心に大小混在し12房はありました。1カゴ狩った時点で計ってもらい、残りをまた狩りに戻りました。個人的な好みは巨峰なので、美味しさは間違いありません。農園内もきれいです。ご夫婦、お手伝いの方も親切です。初めにお味味もいただけるので、その後の収穫が楽しみになります。たくさん狩ると、そのまま食べるだけでなく、ゼリーやスイーツなど作る楽しみも広がるので、良いと思います。来年もお邪魔します。おすすめです。車で行くのも難しくないです。家族には近くの農産物直売所でほかのフルーツを追加してお土産に買いました。お買い得でした。
444,倉富深巨峰園,4.2,じゃらんnetで遊び体験済み甘くて美味しい巨峰でした。混んでなくてゆっくりぶどう狩り出来ました。購入できるぶどうがなくて残念でしたが来年も巨峰のぶどう狩りに行こうと思います。今年時間があれば今度はシャインマスカットを体験行きたいと思います。
445,倉富深巨峰園,4.1,じゃらんnetで遊び体験済み8月20日に葡萄狩りに行きましたが、土曜日の午前中だったので沢山の人でお店の方もてんやわんやで、あまり構ってもらえずこれなら時間を指定されたがよかったです。葡萄狩りとゆうよりただ葡萄を買って来たようなものですほしい葡萄は他の場所にあるようで連れて行ってもらえると思っていたのにお店のかたがただちぎりにいかれて希望は聞いてもらえたけど、持ってきたのは他の種類の葡萄だったのでなんのため待っていたかわかりませんでした。こんなことなら巨峰だけ自分で取ったがよかったです巨峰だけなら葡萄狩りは出来るみたいです最初から他のぶどうは他の場所にあるので自分では取れない等書いてほしかったです。平日だったら色々対応されたのでしょうか？土日祝日はおすすめできません葡萄は甘くで美味しかったです
446,倉富深巨峰園,4.1,家族で参加しました。試食のぶどうも美味しくこの時点で子ども達はテンション上がっていました。収穫したぶどうもとても美味しかったです。ぶどうを収穫してから計量する時は、傷みがないかや食べ頃のものかをチェックしながら計量して貰えたので、安心できました。家族(大人6人.子ども3人)で伺いましたがみんな満足でした。とても暑い日だったので、暑さ対策はしっかりして行かれるのがおすすめです。販売されている巨峰ラムネも美味しかったですよ。
447,倉富深巨峰園,4.1,"じゃらんnetで遊び体験済み家族3人でぶどう狩りに行ってきました。試食したのち、ぶどう園を案内してもらいました。試食のぶどうは冷えていなかったですが、とても甘くておいしかったです。事前に食べごろのぶどうを選別・マーキングしてくれていたので、案内はスムーズでした。また、ぶどうの種類の違いなどを丁寧を教えてくれました。シャインマスカット2房を含む9房を購入し4,500円。リーズナブルな価格で、初めのぶどう狩りでしたがとても満足です。予約なしでも受付できるそうなので、近くに行きましたら立ち寄ります♪"
448,倉富深巨峰園,4.1,それぞれのぶどうの品種の場所を親切に案内して教えて下さり、自身が食べたい品種が車で移動した場所にありましたが、お忙しい中その場所まで連れて行っていただきました。ぶどう狩りの最中にサングラスを落としてしまっており気づかないまま帰路に着いてしまっていましたが、問い合わせたところ保管して下さっていてのでお忙しい中、郵送までしていただきましたm(__)m気に入っていたのでとても助かりました。その節はお世話になりました。ぶどうは気になった4種類の品種の物を収穫しましたが、中でもBKシールド？は最高に甘かったです(*ﾟ▽ﾟ)ﾉぜひまた来年も行かせてもらいます!!
449,倉富深巨峰園,4.1,家族（こども４、２歳）で行きました。取る前に試食あり。子供を抱っこしてハサミで切って取ってもらいました。今年は雨が少なく小さいと言っていましたが充分な大きさ。巨峰とシャインマスカット各２房。実がパンパンでとっても美味しかったです。来年も機会があったら行きたいと思います♪
450,倉富深巨峰園,3.2,じゃらんnetで遊び体験済み何度目かの田主丸ぶどう狩りです。初めて夕方に行ったせいか、蚊が多くてゆっくり出来なかった。設定ミスでした。来年は昼間ですね。ぶどう園はと言うと、繁忙期なので出荷準備で忙しかったかもしれませんが、オモテナシは雑だったですね。何か適当にあしらわれている感じがしました。次は他のところにします。味に関しては甘くて美味しかったのが救いです。
451,ソラランド平尾台(平尾台自然の郷),3.2,チェックインの時間が午前中からできるので、ゆっくり1日過ごせます。チェックアウトがもう1時間あとだと嬉しいですが。アクティビティが沢山あるので、子供は今までで1番楽しんでいたキャンプ場です。広さがあるので、サイトが増設しないかなーーと願っております。休前日の予約は、なかなかの争奪戦ですが、是非また行きたいです。
452,ソラランド平尾台(平尾台自然の郷),4.3,フリーサイトを利用しました。フリーサイトと言っても区画が割り振られているので、場所取りに早く行かなくてもいいです。駐車場も場所が決まっていて9時までは出し入れ自由なので買い物にでたり、温泉に行ったりできとてもよかったです。全体的にキレイでよく整備されています。
453,ソラランド平尾台(平尾台自然の郷),4.2,じゃらんnetで遊び体験済み風か強かったのでテントの設営は大変だったけどこの暑い時期でもなかなか涼しく過ごせました！寝苦しくなかったです。草そりがあるので子供達も大喜び。ずっと滑って遊んでました。
454,ソラランド平尾台(平尾台自然の郷),3.9,ロケーションなどは申し分ないが、管理棟の男性の愛想悪い。笑顔もないし、なぜか不貞腐れてる感じ。
455,ソラランド平尾台(平尾台自然の郷),4.2,じゃらんnetで遊び体験済み山の上は空気が澄んでいて、無限に感じる自然の山の広がりが心を癒やしてくれる平尾台の景色。そんな場所にあるキャンプ場は物凄く素敵でした。ソラランドは無料で中に入るとちょっとしたお店がある、トイレも綺麗、小さな子供が遊べる空間など無料と思えない程のクオリティの中に格安のデイキャンプが出来るスペース。本当に素敵でした。ソラランドの方が場所や案内などとても優しい雰囲気で対応してくれました。区画も大きなテーブル椅子もあり、ちょっとしたバーベキューをしようと思ったら物凄く素敵な場所でした。テーブルも補助で子供用かな？と思うテーブルもあり、荷物置きにも出来て広いスペースでゆったり出来ました。毎年ここを利用したいと考えています。
456,ソラランド平尾台(平尾台自然の郷),4.1,じゃらんnetで遊び体験済み梅雨明けに行きました。下界は蒸し暑かったですがここは爽やかでした。眺めも良く虫も少なくとても過ごしやすかったです。管理人さんもとても感じ良かったです。トイレは綺麗に掃除してありますが出来たら洋式にしていただくと有難いです。
457,ソラランド平尾台(平尾台自然の郷),4.1,とても天気の良い日で、３世代で出掛けました。小倉南インターから15分くらいで到着して、山道の頂上付近での町の眺望が素敵でした。いつものように駐車場に入れていざ園内に！駐車料金は前払いで300円（終日）でしたが、入園料が無料で3世代には大変有難いです。私たちの今回の目的は、昨年オープンしたレストランでの「ランチビュッフェ」です。大変、清潔感のあるホールで美味しい料理に大満足しました。又利用します。
458,ソラランド平尾台(平尾台自然の郷),4.1,景色が良い＝山頂なので当たり前。とにかく広い＝子供が走り回れる。自販機が多い＝欲しいときに自販機あると本当に助かります。トイレがキレイ＝ココ大事！キャンプなどは行っていませんが公園として遊んでも大満足でした。
459,能古島,3.2,まず初めに移動手段は徒歩（お勧め出来ない）・バス・タクシー（一車）だけです。能古島の主な観光地はのこしまアイランドパークだけなのでバスで十分だと思います。のこしまアイランドパークに行く途中にもバス停はあるので、島内を詳しく観光するならタクシーをお勧めします。
460,能古島,4.3,船で行きます。コスモスが満開の時期に行ったのですが、とっても綺麗でしたし、お店も沢山ありいろいろ立ち寄ったりお土産を買ったり楽しかったのでお勧めです。
461,能古島,4.2,シーズンごとに、さまざまな種類のお花が咲き誇っており、自然溢れる島です。イベントも開催されるときもあるので、家族連れやカップルなど多く人におすすめできます。
462,能古島,3.9,イマイチ観光地の少ない博多ですが、こちらは日帰りで自然を満喫できるポイントです。都会のすぐ近くですが、のどかで別世界です。訪れたのは春だったので、一面の菜の花畑と桜が非常に綺麗でした。のこのしまアイランドパークからの帰りは下りですし、春ならバスでなく桜と海を見ながら港まで歩いて帰るのもアリです。季節によっていろいろな花を楽しめます。宿泊もできるようですね。
463,能古島,4.2,フェリーに乗って遊びにいきましたが、島についたらゆったりとした雰囲気で、のどかで自然にかこまれていて本当に楽しかったです！！ 人々も優しくて、子連れでも十分に楽しめました。カラフルな看板などが目につきました。可愛くて、オシャレでした！！
464,能古島,4.1,季節に応じていろんな花が咲くとありコスモスを見に行きました。カラフルな花が一面に広がりどこを見ても癒される景色になっていました。
465,能古島,4.1,福岡県でもここの島は季節によっていろんなお花が見られることで有名です。周囲の景色も一望できますのでいろんな観光客が訪れて賑わっています。
466,能古島,4.1,離島でフェリーで渡りましたけど景色も良く食べ物の海鮮も美味しくいただきました。また是非行きたいと思いました。
467,能古島,4.1,ドライブがてらに能古島に行きましたがコスモスが綺麗に咲いていてびっくりしました。こんなにもの沢山のコスモスは初めてだったので凄かったです。
468,能古島,4.1,能古島ではコスモスがすごく綺麗に咲くことで有名と知ったので友人と行ってきました。いろんな色のコスモスを観ることができてよかったです。
469,能古島,3.2,季節によっていろんなお花が咲く場所なのですが以前ここでコスモスを沢山観たことがあります。カラフルでとっても可愛かったです。
470,能古島,4.3,ここの魅力といえば、コスモスになります。季節によりけりなのですが、その時期が一番きれいだと思いますよ。
471,能古島,4.2,能古島は橋で繋がっているので、車で行くことが出来ます。博多湾を一望出来るのどかで自然が美しい島でした。
472,能古島,3.9,福岡市内から気軽にフェリーに乗って能古島へは行くことができます。やはりコスモスのシーズンがおすすめですよ。
473,能古島,4.2,博多湾にある美しい島になっています。フェリーを使って行くのですがすごく景色が美しいです。島には沢山のコスモスが咲いていたりと綺麗でした。
474,能古島,4.1,福岡市にある能古島ですが本当に綺麗な花が咲くんです。その中でもコスモスがすごく綺麗。フェリーで行ったのですがここは本当観る価値あるなと思いました。
475,能古島,4.1,ここは博多湾にある島で自然豊かなきれいな島です。フェリーを使いますが市内からのアクセスはいいので人気です。
476,能古島,4.1,フェリーで能古島に行きました。自然が多いとても美しい島です。四季折々の花が咲き特にコスモスの時期がおすすめです。
477,能古島,4.1,今年の夏に初めて行きました。島についてアイスを食べていたらバスが行ってしまい携帯のナビで調べたら40分ほど歩けば1番上まで回れそうだったので歩いたのですが心臓破りの坂の連続でした（笑）帰りはバスでスイスイ帰れたのでバス必須です!!笑。
478,能古島,4.1,能古島アイランドパークを散策するためフェリーで訪れました。博多湾に浮かぶ小さな島で季節折々の花々を楽しむことが出来ます。
479,門司港駅,3.2,雰囲気好いです。周辺を散策した後の休憩にも良いです。写真を撮るにも良い場所。スタバもいいですよ。
480,門司港駅,4.3,昔にタイムスリップしたような錯覚に陥る感じのする駅です。ひんやりと静かな雰囲気で、時が止まっているようです。
481,門司港駅,4.2,窓際の席でしたので落ち着いた気持ちでゆっくりと雨の日を楽しみました。チョコレートケーキと紅茶を注文。これがおいしい！スタッフの対応もいい感じでした。ついつい、ケーキ、買って帰りました。
482,門司港駅,3.9,門司港駅内の広場に入るとタイムスリップ出来ます。一部昔のままの施設もあります。現在と昔の写真を見比べてみると面白いです！
483,門司港駅,4.2,駅のホームからレトロ感溢れる。駅舎や各施設も保存されており、当時を偲ばせる。ボランティアさんがトイレなどよく掃除されていて、門司港駅への愛情を感じる。スタバもあり、記念に入りたくなる。
484,門司港駅,4.1,現役駅舎として国の重要文化財に指定されているのは、ここと東京駅だけだそうです。２階の旧貴賓室も見学できます。レトロの街めぐりの最初か締めに、ぜひ訪れたい場所です。
485,門司港駅,4.1,都会の雑踏とはかけ離れた落ち着いた駅舎で、目的地の一つしての候補にしても問題ない。徒歩１分で海が見え、遠くに関門橋も見え、本州に向かう旅客船の発着も絶え間ない。旅行の目的地に行くのに、飛行機を利用し空港に降りるのもいいが、列車を利用しこういった駅に到着するのも感慨深い。
486,門司港駅,4.1,建物がめおひきました港がすぐ近くにあり海のにおいを感じました海が好きなのでしばらく見ていましたまた来たいです
487,門司港駅,4.1,国の重要文化財にも指定されている素敵な建物です。一階にスタバも入っているので、ゆっくりお茶もできるし、二階にはレストランもあるのでお食事も出来ます。鹿児島本線の一番端の駅なので、線路のレールが巻かれているのも見れます。
488,門司港駅,4.1,初めてなのになぜか懐かしい雰囲気の駅街並みに溶け込むその風景がとても素敵でした。ゆっくりしたい時など最適です。
489,門司港駅,3.2,駅は終着駅の感じが凄くよく、なかなか見れる光景じゃないと思います。是非見てください。また駅にあるスターバックスはレトロ感満載でなかなか他では体験できないと思います。
490,門司港駅,4.3,外観、エントランス、改札、アナウンスなどすべてが懐かしい光景でした。次回はこの駅から南へ旅してみたいものです。
491,門司港駅,4.2,３日目は門司港駅周辺のレトロ地区を観光してから山陽本線を上ろうと、小倉駅から門司港駅へ。関門トンネルが開通する前は九州の玄関口として栄えた門司港、レトロ地区は是非観光しなければ。
492,門司港駅,3.9,門司港駅は大正3年に建築された駅舎で、国の重要文化財に指定されています。昭和になってバス待ち合わせ用のひさしなどが追加されましたが、大正創建時の姿にリニューアルされています。大正時代の駅舎は全国にありますが、営業している駅舎としては東京駅に次ぐ規模だと思います。まさに大正ロマンといった建屋ですが、1階にはスタバが入ってます。雰囲気が良くて思わずコーヒーが飲みたいわけでもないのに休憩してしまいました。2階はみかど食堂になっています。ちょっと2階への入り口が目立たないんですが、改札を出て右側です。みかど食堂の案内がありますが、旧貴賓室などは無料で見学できます。
493,門司港駅,4.2,当時の歴史を感じます多くの人々が様々な思いを持ってこの駅を通ったのかと思うと感無量です。駅のすべてが一人一人に様々な思いを与えてくれるそんな気がする駅の顔です。
494,門司港駅,4.1,駅の外観がとても素敵で撮影スポット。周辺にはレストランも多く、一息つくには最高の場所。駅の待合室の雰囲気も他には無い感じで行ってみるかちあり。
495,門司港駅,4.1,日本国内で歴史的価値のある遺産が現在も現役で利用されている事に感慨を誘います　地方駅は何処も同じ仕様になって味わい有る駅舎が大変少なくなりました　そう言う意味でも希少価値の有る駅です
496,門司港駅,4.1,大正ロマン溢れる見応えのある駅舎です。コンコースから改札口、発着ホームまで全てノスタルジックな意匠です。屋根にも見事な飾りが施されていました。広い駅前広場には噴水が設置され、駅舎脇では名物「バナナの叩き売り」に見物客が集まっていました。
497,門司港駅,4.1,構造、照明や鉄骨、壁など時代を思わせる一見の価値のある施設です。おすすめです。二階やトイレの手洗い設備などもレトロで楽しめます。
498,門司港駅,4.1,噴水が動作するのを見るのは、年を重ねていてもワクワクするものが有り、楽しい。暫く一人で佇んで見ていたが、面白かった。結構頻回に噴出するので待ちぼうけする感じもなく、宜しかった。
499,福岡市観光案内所（天神）,3.2,窓口でバス乗り場を聞いたら間違いを教えられました。天神1Aバス停から発車するバスは全てPayPayドームまたは九州医療センター前を通ると言われたのですが、1Aバス停でも302系統のバスはいずれのバス停にも止まらず違うコースを走ります。
500,福岡市観光案内所（天神）,4.3,ソラリアステージの一階にあり、道の案内やオススメの観光スポットまで、多くの情報を教えてくれます。観光客も多いです。
501,福岡市観光案内所（天神）,4.2,観光案内所を利用しましたがスタッフの方も感じが良くとても良かったです。パンフレットもたくさん置いてあるので良いと思います
502,福岡市観光案内所（天神）,3.9,「新しくできたショッピングモールに行きたい」と尋ねました。「マークイズ福岡ももちのことですね」と確認され、乗り場を教えてくれ、バスの番号を書いた小さな紙をくれました。親切な対応でした。外国人も来ており、各地のパンフレットなども置いてありました。
503,福岡市観光案内所（天神）,4.2,福岡市内で行ったとこ以外で何かないか知らせてましたが、観光を的確にアドバイス頂き、また違った観光ができて良かったです。
504,福岡市観光案内所（天神）,4.1,アジア系、欧米系と外国人観光客をよく見かけます。スタッフさんがしっかり対応されていて、おもてなしを感じました。
505,福岡市観光案内所（天神）,4.1,福岡の観光スポットを知るなら困らないくらいたくさん情報を教えて頂けまして、福岡の名物料理食べるキッカケにもなり幸せでした。
506,福岡市観光案内所（天神）,4.1,観光するのに迷ったらよくココに来ますが、以外な観光スポットも聞けていろいろと案内してくださるので最高です。
507,福岡市観光案内所（天神）,4.1,天神にある海鮮居酒屋を予約してもらっていたのですが、場所がわかりずらく、自分で探してもどうしてもわからず、時間もなかったので頼りました。こういうことで利用していいのかわからなかったのですが、とても丁寧に教えてくれました。海外の方もいらして、韓国語でスタッフさんが対応しているのには感心しました。
508,福岡市観光案内所（天神）,4.1,天神駅１階のロビー的なところにある案内所です。小奇麗な感じでつい寄って見たくなるスポットでした。駅内なのでアクセスもよいです。
509,福岡市観光案内所（天神）,3.2,福岡に着くとまずこちらへ立ち寄るとパンフレットがたくさんあります。またスタッフの方からの情報も丁寧に教えていただけるので、初めての福岡の方はおすすめです。
510,福岡市観光案内所（天神）,4.3,たくさんの観光客で溢れかえってましたが、福岡の穴場のお店を教えて頂いて、すごく観光がより一層充実しました。
511,福岡市観光案内所（天神）,4.2,天神の三越デパートの入口近くにあるライオン広場にある観光案内所です。外観はガラス張りのお洒落な感じの建物で入りやすいです。この中には福岡を中心に九州各地の観光案内パンフがそろえられています。
512,福岡市観光案内所（天神）,3.9,福岡は観光スポットがたくさんありますので、初めて来られた方はぜひこちらに行かれることをお勧めします。丁寧に案内していただけます。
513,福岡市観光案内所（天神）,4.2,パンフレットがたくさんあるので、行きたい場所がまだ決まっていないときに行くのもいいかと思います。また、スタッフの方に相談すると、色々と教えてくれるので、オススメですよ。
514,福岡市観光案内所（天神）,4.1,福岡内だけでなく、九州内の主要観光地のパンフレットもあり、スタッフも丁寧に教えてくれます。アクセスしやすく、わかりやすい場所にあるからか、ずっと混んでいるような印象があります。
515,福岡市観光案内所（天神）,4.1,とても丁寧に観光スポットをかなり細かくアドバイスしてくれました。とてもわかりやすい場所にあり、目立つ色とデザインを使っているのも良いと思います。
516,福岡市観光案内所（天神）,4.1,天神にある観光案内所です。福岡（博多）や周辺の観光スポットなどのパンフレットやチラシがたくさん置いてあるので、観光前に立ち寄ってみると良いです。
517,福岡市観光案内所（天神）,4.1,案内所内には、たくさんのパンフレットが置いてあります。観光情報などを親切に教えてくれました。楽しい旅になりました。
518,福岡市観光案内所（天神）,4.1,案内係の方が丁寧であり、親切な対応をしてくださいました。福岡の観光に関して情報提供してくださいますよ。
519,皿倉山,4.3,久しぶりの北九州旅行。懐かしさあまりにロープウェイで山頂まで行ってきました。景色が綺麗で良かった。
520,皿倉山,4.2,夜景を楽しむことは出来なかったけど、昼間にケーブルカーとスロープカーに乗り継ぎ、先頭に乗って楽しみました。急斜面も見ながら、紫陽花も楽しめた。皿倉山からの景色も綺麗でした。望遠鏡で見る景色も良かったです。乗り物が好きな子供には楽しいと思います。山の天気は急変するので、下る時に、突風と雨で一旦止むまで待ち、回復してから降りました。その経験もありかなと思いました。
521,皿倉山,4.1,ケーブルカーを利用しました。頂上からの眺めが良いです。40年前とは変わってました。次回は夜景が見たいです。
522,皿倉山,4.2,皿倉山はご存じ夜景の名所なんですが、河内藤園に行ったついでに真っ昼間に訪問しました。目の間に八幡と洞海湾、その先には小倉と海を挟んで下関の街と昼間でもいい景色です。八幡駅が最寄りで、駅から無料のバスも出ていますが、本数には限りがあるのでご注意ください。徒歩だと30分くらいの距離ですが、麓駅まででも結構登るので車のほうがいいかと。ケーブルカーの麓駅前に有料の立体駐車場があります。ここから20分おきに出発するケーブルカーで５，６分上がると山上駅へ到着、そこから徒歩で展望台まで上がることも出来ますが、スロープカーに乗り換えて3分程度で展望台まで行くことが出来ます。夜景の名所なんで、季節にもよりますが、21時くらいまで動いてます。展望台は2階部分が屋内になっていて、訪問日は閉店してましたがレストランもあります。3階が屋外です。
523,皿倉山,4.2,登りはケーブルカーとスロープカーを乗りついて頂上へ行って、帰りはハイキングコースを下って徒歩で降りてきました。国見岩コースは下りも結構急斜面でした。
524,皿倉山,4.2,展望台の2階がクーラー効いててありがたかったケーブルカーも20分おきに来るのでちょうどよい上りと下りのすれ違いが楽しかった
525,皿倉山,4.0,こんなにパノラマで景色が見れるなんて、、、夜景も絶対見たいともう一度、夜に来ました。まだまだ夜は寒いんで、上着が必要ですね。展望のレストランで日の入りを待つ間、焼きカレー食べて待ってました
526,皿倉山,4.2,皿倉山に車椅子の母を連れて、家族で訪れました。夜景が本当に素晴らしかったです。それ以上にスタッフさん達が皆さんとても親切で、車椅子の母が寒がっていたので、スタッフさんご自身のジャンパーを貸していただき、とても感激しました。スタッフの皆さん、ありがとうございました。
527,皿倉山,4.3,ケーブルカーに乗って夜景を見に行きました。夜の皿倉山は久しぶりでしたさすが日本3代夜景に選ばれただけあり素晴らしい眺めで感動、また藤棚を模したようなイルミネーションのトンネルもきれいだった。
528,皿倉山,4.3,法事の後、久しぶり（30年ぶり）にケーブルカーで登りました。山頂の鉄塔の色や建物が変わってましたが、やはり眺望は最高でしたね。次は何年後になるか分かりませんが40年ぶりに夜景を見たいな。
529,皿倉山,4.3,山頂から見える街並みは、昼間もきれいですが、なんといっても夜景がきれいです。工業地帯の明かりがきれいです。
530,皿倉山,4.2,今回、北九州魅力パスポートを使ってロープウェイで登るつもりでしたが、忘れてしまい歩いて登山しました。舗装されたコースでなく、ぬかるんだ道でしたが年配の方々も杖をつきながら降りてこられたので、頑張って登りました。自分の足で登ると達成感を味わえました。
531,皿倉山,4.1,冬は空気が澄んでいるので夜景は綺麗ですが、寒いので防寒対策をしっかりとしてから行くことをお勧めします。ケーブルカーで気軽に行くことができますが。風の強い日は秋〜春でも寒いことがあるので、気をつけてください。
532,皿倉山,4.2,ツアーで訪問。ケーブルカー、スロープカーで山頂まで行き、北九州市の美しい夜景を眺めました。新日本三大夜景だそうです。
533,皿倉山,4.2,北九州魅力満喫パスポートを使って、皿倉山にケーブルカーとスロープカーを使って登りました。福岡県民は400円のパスポートを購入したら、何回も乗れるそうです。この時期は、かなり寒いので、防寒着が必要ですが、展望レストランがあり、暖を取ることができて、夕暮れから夜景まで観ることが出来ました。地元で行く機会がなかったのはもったいないと思いました。天候により、景色の見え方が変わるので、あと何回か行くつもりです。
534,皿倉山,4.2,八幡駅から1時間に2本、無料でケーブルカー口まで乗せてもらえます。着く寸前、駐車場待ちの車をバスがスイスイ抜いて行きました。バスの時間とちょうどよく、ケーブルカーに乗れ、スロープカーにも乗れたので、すべてかスムーズ。天気がよく、展望台にいる係の方が、沖ノ島が観えますよと教えてくれました。2階で焼きカレーとそば団子を頂きました。帰りもスムーズに八幡駅まで帰りました。とても良い天気で風もほとんどなかったですが、ダウンコートでも、とても寒かったです。
535,皿倉山,4.0,北九州満喫パスポート利用でお得に楽しめました。ケーブルカーはスリル満点でした。頂上は風が強くて寒かったです。
536,皿倉山,4.2,八幡駅から無料のシャトルバスが出ており、ケーブルカーとスロープカーで山頂まで行くことができるため、遠さを全然感じさせません山頂にレストランもあり、トイレの施設も整っているため家族連れでも利用しやすいと思います。ただ、山頂は風も強く寒いため、景色を十分に楽しみたいなら防寒対策をしっかりしておいた方がいいです
537,皿倉山,4.3,案内の方がたくさんいらしたので細やかなご案内をしていただきました。日本三大かどうかは少し我慢でしたがとても綺麗でした。近くに来られた方はぜひみていただきたいです。家族でこられてる方もたくさんいらして子供達もとても喜んでおられました。
538,皿倉山,4.3,山頂の展望台から若戸大橋や響灘の風力発電が見えました。小倉の中心市街地や関門海峡も見ることができました。向きを変えると周防灘の方向にも展望が開けます。
539,櫛田神社（福岡県福岡市）,4.3,博多祇園山笠が奉納される神社で、飾り山笠が6月を除き一年中展示されています。博多っ子からは「お櫛田さん」の愛称で親しまれている，博多の総鎮守です。御祭神は正殿に大幡主命（櫛田宮）・左殿に天照皇大神（大神宮）・右殿に須佐之男命（祇園宮）をお祀りしています。＜節分大祭＞2月の節分の日に行われる櫛田宮のお祭りで、日本一大きな「おたふく面」設置され、知名士による豆まきが行われます。このおたふく面をくぐると縁起が良いと言われています。
540,櫛田神社（福岡県福岡市）,4.2,地下鉄「櫛田神社前」から徒歩すぐの場所に位置し、キャナルシティ博多からも近いのでアクセスは便利です。博多の中心にひっそりと佇む総鎮守という印象ですが、「山笠」が奉納されている神社でもあり、実際に展示されていました。とても迫力があって絶好の撮影スポットでした。
541,櫛田神社（福岡県福岡市）,4.1,市内中心部にある神社なので、交通の便は良いですが、敷地が狭く段差も多かったです。博多祇園山笠祭りの日に訪れたせいか、境内に祭り見物の桟敷席が設置されており、人も多かったため、歩きにくかったです。神社前で流ひきが見れました。
542,櫛田神社（福岡県福岡市）,4.2,１４日は、無料で桟敷にすわって、全部ではありませんが、山笠の櫛田入り？が見れて感激しました。来年もいきたいです。
543,櫛田神社（福岡県福岡市）,4.2,集団山見せ途中で櫛田神社に移動し、4つの山笠を見ることができました。いつもは静かな神社ですが、山笠には桟敷席に人がいっぱいでまた違った雰囲気を味わえます。お参りしたら真上の風神・雷神の彫刻がユニークなこと＆博多塀・博多山笠法被姿の小便小僧も探してくださいね。
544,櫛田神社（福岡県福岡市）,4.2,観光客と博多祇園山笠の準備で、境内は賑わってました。コロナ禍をさけ数年ぶりで、本殿前の鈴が外されていました。
545,櫛田神社（福岡県福岡市）,4.0,山笠を観たくて神社に来ました。山笠は圧巻の迫力で圧倒されました。神社自体も素晴らしく、来て良かったです。
546,櫛田神社（福岡県福岡市）,4.2,こじんまりしていながらも、見所のたくさんある神社。地元の氏神様として大切にされているのを感じました。御神輿や「博多べい」などが見られます。
547,櫛田神社（福岡県福岡市）,4.3,車で行ったので少し迷いました。山笠を初めて見たのですが、素晴らしかったです。御朱印を頂きましたが、神社の方は親切で色々教えてくださいました。
548,櫛田神社（福岡県福岡市）,4.3,繁華街の中の神社で行きやすく感動しました。色んな悩み事解消の神様があり良かったです。行ったのは平日なのでゆっくりとお参りが出来ました。土日は混む神社と思います。
549,櫛田神社（福岡県福岡市）,4.3,博多の守り神ともいうべき、立派な神社です。何回見ても、圧倒される注連縄や、山車の雄大さ、目を見張るぐらいです。
550,櫛田神社（福岡県福岡市）,4.2,駐車場有りとなっていましたが、よく分からず有料駐車場に停めました。御朱印を書いて頂く時、最後のページで　どうしようかと思って聞いたら親切丁寧に教えてくださりました。ありがとうございました。
551,櫛田神社（福岡県福岡市）,4.1,数年間の地下鉄七隈線の延伸工事が終わり、ついに櫛田神社駅ができました。早速、地下鉄に乗ってお櫛田さんへ・・キャナル・Max value・西川端商店街・櫛田神社の真ん中から地上へ(これがベストな出口？)信号を渡って1分で到着です。随分と便利になりました。お正月の参拝時って大混雑するのでしょうね！
552,櫛田神社（福岡県福岡市）,4.2,桜が満開で、素晴らしかったです。御朱印収集をしているので、ホテルにも近く寄らせてもらいました。思っていたより立派な神社でした。
553,櫛田神社（福岡県福岡市）,4.2,きれいに掃除がなされていました。帰る時　上を見上げたら　建物の上にスパイダーマンがいて、子どもたちも喜んでいました。
554,櫛田神社（福岡県福岡市）,4.2,櫛田神社に参拝して大きなお神輿を拝見しました。福岡市内は「どんたく」でたいそうな賑わいでした。
555,櫛田神社（福岡県福岡市）,4.0,受付、対応、言葉遣いが全てにおいて酷い。神社に勤めているのにも関わらず雑な対応。折り返しご連絡すると言われ待ったのにも関わらず3日、4日とすぎ最終的には今はご対応できないと返答。待った時間返してほしい。一般の方を見下し開き直り、対応も話にならない。すいませんと謝りましたが他に何を求めてるんですか？なんで上からなんですか？気分が悪いんですがなど、きちんと説明せず軽く謝ったからこっちは何もないし満載。神社に仕えるものの発言、行動ではない。二度と行かない神社です。
556,櫛田神社（福岡県福岡市）,4.2,山笠の櫛田神社はそれはそれは賑やか、勢いすさまじいですが、オフの早朝はシーンとして厳かでした。きりっとした気持ちになれました。
